ProductID,ProductName,Category,SubCategory,UnitPrice,COGS
PROD0027,Innovate Magnetic Architectures,Furniture,Tables,673.43,398.67
PROD0028,Generate Ubiquitous Web Services,Office Supplies,Art,990.26,514.54
PROD0029,Evolve 24/365 Supply-Chains,Technology,Copiers,167.09,141.53
PROD0030,Re-Intermediate Efficient E-Markets,Technology,Accessories,330.68,197.72
PROD0031,Syndicate Killer Action-Items,Technology,Machines,284.54,168.69
PROD0032,Syndicate Frictionless Partnerships,Technology,Accessories,344.56,201.2
PROD0033,Revolutionize Extensible Niches,Office Supplies,Labels,661.76,565.94
PROD0034,Visualize Dynamic Applications,Furniture,Chairs,675.54,376.37
PROD0035,Disintermediate B2B Applications,Office Supplies,Labels,874.07,537.63
PROD0036,Brand Best-Of-Breed Vortals,Technology,Phones,955.77,685.23
PROD0037,Exploit Vertical Paradigms,Technology,Phones,913.05,491.44
PROD0038,Cultivate B2B Networks,Furniture,Furnishings,160.04,90.33
PROD0039,Repurpose Ubiquitous Bandwidth,Furniture,Bookcases,836.16,585.19
PROD0040,Utilize End-To-End Functionalities,Technology,Accessories,807.47,514.09
PROD0041,Innovate Next-Generation Markets,Furniture,Chairs,144.01,125.82
PROD0042,Brand Visionary E-Markets,Technology,Copiers,153.42,136.87
PROD0043,Benchmark User-Centric Synergies,Technology,Machines,832.88,632.75
PROD0044,Optimize Impactful Roi,Office Supplies,Art,791.36,477.84
PROD0045,Cultivate Vertical E-Markets,Technology,Phones,20.8,13.59
PROD0046,Extend Bricks-And-Clicks Roi,Technology,Copiers,257.14,183.92
PROD0047,Revolutionize Rich Schemas,Office Supplies,Paper,463.24,389.24
PROD0048,Seize Mission-Critical E-Markets,Technology,Phones,612.86,482.89
PROD0049,Reinvent Holistic Interfaces,Furniture,Bookcases,339.95,305.79
PROD0050,Architect Synergistic Content,Office Supplies,Art,72.48,52.88
PROD0051,Embrace Ubiquitous Mindshare,Technology,Phones,252.86,158.34
PROD0052,Engineer Bricks-And-Clicks Schemas,Technology,Copiers,497.72,337.73
PROD0053,Drive Cross-Media Solutions,Office Supplies,Art,171.44,104.46
PROD0054,Re-Intermediate Synergistic Synergies,Furniture,Tables,140.25,97.0
PROD0055,Morph Bricks-And-Clicks Paradigms,Furniture,Tables,63.97,39.98
PROD0056,Facilitate Web-Enabled E-Commerce,Technology,Machines,410.84,357.67
PROD0057,Generate Bleeding-Edge E-Markets,Office Supplies,Binders,360.11,296.45
PROD0058,Scale Best-Of-Breed Platforms,Technology,Accessories,418.87,331.09
PROD0059,Aggregate Dot-Com E-Business,Furniture,Chairs,254.44,175.73
PROD0060,Innovate Best-Of-Breed Eyeballs,Office Supplies,Paper,765.53,555.77
PROD0061,Empower Vertical Markets,Furniture,Bookcases,712.5,530.58
PROD0062,Monetize Ubiquitous Eyeballs,Technology,Phones,77.93,66.06
PROD0063,Synthesize Seamless Synergies,Office Supplies,Labels,188.14,168.1
PROD0064,Empower Impactful Interfaces,Office Supplies,Labels,133.06,96.24
PROD0065,Exploit Dot-Com Web Services,Furniture,Furnishings,105.56,63.55
PROD0066,Re-Contextualize Wireless Systems,Office Supplies,Labels,163.75,142.37
PROD0067,Architect Frictionless Communities,Office Supplies,Binders,727.1,461.17
PROD0068,Matrix Clicks-And-Mortar Architectures,Technology,Copiers,801.63,589.41
PROD0069,Envisioneer Interactive Communities,Office Supplies,Art,657.71,338.68
PROD0070,Synergize Clicks-And-Mortar Schemas,Technology,Copiers,212.88,190.4
PROD0071,Monetize One-To-One Markets,Office Supplies,Paper,831.35,676.12
PROD0072,Syndicate Compelling Platforms,Office Supplies,Art,127.91,68.81
PROD0073,Benchmark Strategic Systems,Furniture,Chairs,604.14,340.14
PROD0074,Enhance B2C Portals,Technology,Phones,724.34,374.55
PROD0075,Exploit Scalable Markets,Technology,Copiers,455.33,238.8
PROD0076,Orchestrate Intuitive E-Business,Office Supplies,Paper,313.97,250.29
PROD0077,Seize Enterprise Action-Items,Furniture,Chairs,558.66,283.47
PROD0078,Monetize Distributed Info-Mediaries,Furniture,Bookcases,412.03,212.1
PROD0079,Harness Visionary Mindshare,Furniture,Furnishings,117.03,67.34
PROD0080,Facilitate User-Centric Schemas,Office Supplies,Art,682.74,491.29
PROD0081,Revolutionize Value-Added Convergence,Technology,Phones,685.78,557.57
PROD0082,Harness Best-Of-Breed Content,Furniture,Furnishings,186.05,141.72
PROD0083,Expedite 24/7 E-Tailers,Office Supplies,Art,934.94,634.8
PROD0084,Iterate Dot-Com Networks,Technology,Machines,386.18,215.37
PROD0085,Extend Scalable Supply-Chains,Technology,Phones,787.35,583.32
PROD0086,Innovate Enterprise Relationships,Technology,Copiers,804.6,503.0
PROD0087,Scale Leading-Edge Portals,Furniture,Chairs,715.74,596.23
PROD0088,Seize Interactive Content,Technology,Copiers,520.54,316.42
PROD0089,Enhance Turn-Key Deliverables,Technology,Phones,404.07,305.7
PROD0090,Integrate Mission-Critical Technologies,Office Supplies,Paper,611.91,532.89
PROD0091,Benchmark Virtual Channels,Furniture,Furnishings,107.27,62.89
PROD0092,Redefine Back-End E-Services,Office Supplies,Binders,793.59,590.5
PROD0093,Unleash Value-Added Vortals,Furniture,Bookcases,866.69,774.17
PROD0094,Benchmark Vertical Content,Office Supplies,Paper,392.99,247.57
PROD0095,Matrix Global Eyeballs,Furniture,Furnishings,213.22,180.77
PROD0096,E-Enable Web-Enabled Portals,Furniture,Chairs,317.0,200.66
PROD0097,Seize Next-Generation Functionalities,Furniture,Bookcases,428.83,339.94
PROD0098,Cultivate Value-Added Infrastructures,Furniture,Furnishings,645.53,536.38
PROD0099,Orchestrate Synergistic Platforms,Office Supplies,Labels,204.75,149.13
PROD0100,Maximize Open-Source Paradigms,Furniture,Bookcases,748.85,627.95
PROD0101,Maximize Out-Of-The-Box Models,Office Supplies,Labels,566.37,460.15
PROD0102,Facilitate Synergistic Schemas,Office Supplies,Binders,755.79,440.15
PROD0103,Architect Ubiquitous Communities,Technology,Accessories,337.08,298.76
PROD0104,Envisioneer One-To-One Markets,Technology,Phones,910.96,577.02
PROD0105,Target Open-Source E-Business,Technology,Copiers,744.27,650.23
PROD0106,Transition Cutting-Edge Info-Mediaries,Technology,Copiers,613.68,488.07
PROD0107,Engineer Visionary Supply-Chains,Technology,Accessories,190.02,149.58
PROD0108,Deploy Vertical Deliverables,Furniture,Chairs,924.08,702.22
PROD0109,Innovate 24/7 Solutions,Furniture,Furnishings,195.64,139.1
PROD0110,Seize Granular Synergies,Office Supplies,Paper,837.61,717.31
PROD0111,Brand Visionary Technologies,Furniture,Chairs,202.47,166.85
PROD0112,Deliver Wireless Methodologies,Furniture,Chairs,995.14,748.51
PROD0113,Integrate Turn-Key Portals,Office Supplies,Binders,452.98,321.3
PROD0114,Innovate Enterprise Metrics,Furniture,Chairs,76.37,58.77
PROD0115,Seize Virtual E-Markets,Furniture,Tables,553.47,420.74
PROD0116,Incentivize Ubiquitous Paradigms,Furniture,Bookcases,629.89,454.38
PROD0117,Seize Vertical Roi,Office Supplies,Binders,153.91,136.92
PROD0118,Engage Virtual Eyeballs,Technology,Phones,246.78,218.48
PROD0119,Whiteboard Dynamic Models,Furniture,Tables,829.06,448.36
PROD0120,Reinvent Vertical E-Services,Furniture,Chairs,763.51,516.33
PROD0121,Drive Sticky Web-Readiness,Technology,Machines,631.79,526.19
PROD0122,Disintermediate B2C Infrastructures,Technology,Accessories,834.68,686.47
PROD0123,Visualize Cross-Platform Interfaces,Office Supplies,Labels,434.69,304.17
PROD0124,Evolve Web-Enabled Portals,Office Supplies,Binders,542.29,298.54
PROD0125,Envisioneer Impactful Networks,Furniture,Tables,417.8,252.42
PROD0126,Target B2B Eyeballs,Office Supplies,Binders,74.12,56.16
PROD0127,Maximize Bricks-And-Clicks Technologies,Technology,Machines,250.84,157.91
PROD0128,Enhance Strategic Functionalities,Technology,Copiers,717.05,487.62
PROD0129,Drive Back-End Infrastructures,Office Supplies,Art,116.66,96.11
PROD0130,Benchmark Front-End Technologies,Technology,Copiers,861.46,643.26
PROD0131,Architect Cross-Platform Vortals,Technology,Accessories,156.88,117.08
PROD0132,Revolutionize Virtual Niches,Technology,Phones,707.44,433.04
PROD0133,Transform Web-Enabled Relationships,Office Supplies,Labels,716.27,617.25
PROD0134,Repurpose Synergistic Action-Items,Technology,Machines,921.17,547.79
PROD0135,Visualize Holistic E-Business,Technology,Copiers,874.87,489.23
PROD0136,Enhance Cutting-Edge Web-Readiness,Technology,Phones,543.1,450.92
PROD0137,Orchestrate Integrated Systems,Office Supplies,Labels,432.67,370.75
PROD0138,Synthesize Efficient Communities,Office Supplies,Paper,934.04,783.95
PROD0139,Disintermediate Rich E-Commerce,Office Supplies,Paper,302.16,202.69
PROD0140,Mesh Magnetic Interfaces,Technology,Machines,134.03,108.91
PROD0141,Transition Integrated Eyeballs,Office Supplies,Labels,223.14,140.73
PROD0142,Enhance Front-End Metrics,Office Supplies,Binders,634.0,334.36
PROD0143,Unleash Transparent E-Business,Office Supplies,Art,853.14,444.37
PROD0144,Synthesize 24/7 Schemas,Office Supplies,Paper,344.62,244.88
PROD0145,Exploit Scalable Portals,Furniture,Bookcases,824.46,596.32
PROD0146,Incentivize B2B Convergence,Furniture,Tables,579.37,468.91
PROD0147,Orchestrate E-Business Schemas,Office Supplies,Paper,242.3,129.19
PROD0148,Streamline Front-End E-Business,Office Supplies,Labels,428.01,224.0
PROD0149,Harness Transparent Synergies,Technology,Copiers,586.09,495.56
PROD0150,Engage Best-Of-Breed Bandwidth,Technology,Copiers,167.32,106.1
PROD0151,Disintermediate Web-Enabled Deliverables,Furniture,Tables,483.35,249.72
PROD0152,Transform Impactful Users,Furniture,Tables,858.78,579.72
PROD0153,Leverage Distributed Interfaces,Technology,Accessories,656.67,330.44
PROD0154,Brand Next-Generation Niches,Furniture,Furnishings,769.03,537.39
PROD0155,Visualize Plug-And-Play Supply-Chains,Technology,Phones,737.33,385.27
PROD0156,Streamline Front-End Functionalities,Furniture,Chairs,991.43,628.8
PROD0157,Whiteboard Value-Added E-Markets,Technology,Copiers,360.77,191.6
PROD0158,Mesh Plug-And-Play Channels,Furniture,Tables,313.52,215.35
PROD0159,Expedite Robust Deliverables,Office Supplies,Art,564.18,334.77
PROD0160,Matrix Dynamic Users,Technology,Copiers,961.63,668.18
PROD0161,Facilitate Synergistic Vortals,Technology,Machines,86.42,52.12
PROD0162,Envisioneer Synergistic Eyeballs,Office Supplies,Binders,996.58,650.79
PROD0163,Incubate Proactive Technologies,Furniture,Bookcases,645.27,328.85
PROD0164,Transform User-Centric Synergies,Furniture,Bookcases,719.82,532.23
PROD0165,Enhance Cross-Media Partnerships,Furniture,Furnishings,816.55,521.49
PROD0166,Productize B2C Vortals,Office Supplies,Art,160.41,110.38
PROD0167,Matrix Collaborative Partnerships,Technology,Machines,561.92,478.08
PROD0168,Extend Rich Schemas,Office Supplies,Binders,343.89,222.15
PROD0169,Scale Holistic Relationships,Technology,Phones,821.59,481.21
PROD0170,Leverage Web-Enabled Supply-Chains,Office Supplies,Paper,310.45,160.04
PROD0171,Scale One-To-One Channels,Technology,Copiers,507.94,351.94
PROD0172,Target Interactive Infrastructures,Furniture,Tables,37.88,27.31
PROD0173,Morph Value-Added Functionalities,Furniture,Bookcases,670.3,480.32
PROD0174,Monetize Proactive Initiatives,Office Supplies,Paper,609.31,426.28
PROD0175,Engage Back-End Initiatives,Furniture,Furnishings,242.27,188.98
PROD0176,Engineer Transparent Models,Office Supplies,Binders,804.34,424.8
PROD0177,Visualize Scalable Paradigms,Office Supplies,Art,68.18,48.7
PROD0178,Leverage Web-Enabled Roi,Technology,Machines,873.02,531.46
PROD0179,Empower Extensible Action-Items,Office Supplies,Art,355.48,262.01
PROD0180,Repurpose Proactive Architectures,Office Supplies,Binders,67.91,47.77
PROD0181,Engineer Back-End Models,Technology,Accessories,182.11,160.01
PROD0182,Reinvent Vertical Initiatives,Technology,Accessories,669.28,368.07
PROD0183,Aggregate One-To-One Metrics,Office Supplies,Paper,973.45,784.89
PROD0184,Morph Intuitive Paradigms,Technology,Machines,271.29,147.37
PROD0185,Generate One-To-One Supply-Chains,Furniture,Tables,430.65,219.9
PROD0186,Integrate Integrated Channels,Technology,Copiers,803.56,510.31
PROD0187,Re-Contextualize Innovative Relationships,Technology,Accessories,82.38,71.9
PROD0188,Extend B2B Communities,Office Supplies,Art,296.91,220.37
PROD0189,Expedite Revolutionary E-Business,Technology,Machines,269.91,188.34
PROD0190,Harness Clicks-And-Mortar Technologies,Technology,Accessories,501.63,405.58
PROD0191,Whiteboard Bricks-And-Clicks Metrics,Technology,Accessories,448.16,239.12
PROD0192,Brand Turn-Key Infrastructures,Technology,Accessories,903.52,467.79
PROD0193,Orchestrate Cross-Media Metrics,Technology,Copiers,75.38,53.26
PROD0194,Envisioneer Scalable Functionalities,Office Supplies,Binders,893.4,668.29
PROD0195,Monetize End-To-End Synergies,Furniture,Bookcases,863.77,728.0
PROD0196,Benchmark B2B Metrics,Furniture,Chairs,14.56,11.13
PROD0197,Enable Dot-Com Interfaces,Technology,Phones,267.11,231.72
PROD0198,Streamline Seamless Interfaces,Office Supplies,Art,145.94,129.72
PROD0199,Enable End-To-End Supply-Chains,Furniture,Furnishings,741.46,524.0
PROD0200,Leverage E-Business Markets,Technology,Copiers,939.03,759.17
PROD0201,Deploy Global E-Commerce,Technology,Accessories,52.39,38.04
PROD0202,Evolve Innovative Roi,Furniture,Chairs,998.3,680.18
PROD0203,Drive Front-End Content,Furniture,Tables,907.56,462.26
PROD0204,Architect Collaborative Communities,Technology,Copiers,294.7,171.81
PROD0205,Empower E-Business Content,Office Supplies,Art,148.11,78.03
PROD0206,Synergize 24/7 Supply-Chains,Office Supplies,Labels,451.57,329.04
PROD0207,Enhance Value-Added Interfaces,Technology,Phones,379.62,232.25
PROD0208,Scale Wireless Communities,Office Supplies,Binders,743.32,584.17
PROD0209,Aggregate Efficient Info-Mediaries,Furniture,Furnishings,849.61,546.29
PROD0210,Facilitate World-Class Action-Items,Technology,Accessories,132.7,102.8
PROD0211,Brand Proactive Experiences,Office Supplies,Art,29.31,16.98
PROD0212,Implement Cross-Media Supply-Chains,Furniture,Bookcases,334.62,255.11
PROD0213,Embrace Revolutionary Vortals,Technology,Accessories,886.17,622.05
PROD0214,Cultivate Cross-Media Solutions,Technology,Accessories,201.9,156.58
PROD0215,E-Enable E-Business Bandwidth,Technology,Accessories,273.35,142.66
PROD0216,Enhance Distributed Systems,Furniture,Furnishings,387.51,221.16
PROD0217,Monetize Plug-And-Play Functionalities,Technology,Copiers,186.07,102.56
PROD0218,Expedite Bricks-And-Clicks Web-Readiness,Furniture,Furnishings,571.1,454.87
PROD0219,Whiteboard User-Centric Roi,Office Supplies,Binders,977.74,814.23
PROD0220,Disintermediate Real-Time Functionalities,Furniture,Bookcases,845.26,597.18
PROD0221,Engage Viral E-Markets,Furniture,Bookcases,349.03,179.32
PROD0222,Target Bricks-And-Clicks Functionalities,Office Supplies,Binders,166.33,85.02
PROD0223,Aggregate Best-Of-Breed Applications,Office Supplies,Labels,710.14,587.33
PROD0224,Engage Collaborative Interfaces,Technology,Copiers,505.74,425.2
PROD0225,Innovate Integrated Vortals,Office Supplies,Art,356.21,241.59
PROD0226,Enable Bleeding-Edge Communities,Furniture,Bookcases,683.68,358.27
PROD0227,Unleash Turn-Key Action-Items,Office Supplies,Art,990.69,618.75
PROD0228,Reinvent Efficient E-Commerce,Office Supplies,Binders,59.71,35.44
PROD0229,Synthesize Dynamic Synergies,Office Supplies,Paper,408.22,289.26
PROD0230,Redefine World-Class E-Markets,Technology,Phones,85.26,45.11
PROD0231,Unleash 24/365 Vortals,Technology,Copiers,362.05,252.66
PROD0232,Generate Open-Source Markets,Office Supplies,Paper,967.31,764.82
PROD0233,Disintermediate Granular Paradigms,Office Supplies,Labels,257.07,141.51
PROD0234,Re-Contextualize Viral Markets,Furniture,Tables,889.37,600.26
PROD0235,Re-Contextualize Turn-Key Info-Mediaries,Office Supplies,Binders,111.44,70.67
PROD0236,Leverage Bricks-And-Clicks Supply-Chains,Furniture,Tables,105.35,68.42
PROD0237,Whiteboard Extensible Action-Items,Office Supplies,Labels,40.08,22.2
PROD0238,Leverage End-To-End Infrastructures,Furniture,Furnishings,379.22,250.04
PROD0239,Grow Strategic Users,Office Supplies,Paper,566.02,424.85
PROD0240,Utilize Distributed Platforms,Furniture,Bookcases,218.7,114.35
PROD0241,Maximize Collaborative E-Markets,Furniture,Chairs,882.27,770.14
PROD0242,Cultivate Extensible Experiences,Technology,Accessories,237.63,161.9
PROD0243,Architect Value-Added Interfaces,Furniture,Furnishings,622.32,396.74
PROD0244,Reinvent End-To-End Deliverables,Technology,Phones,14.82,11.89
PROD0245,Engineer Customized Content,Furniture,Bookcases,312.87,278.63
PROD0246,Maximize Enterprise Info-Mediaries,Technology,Phones,88.33,64.06
PROD0247,Strategize Viral Methodologies,Furniture,Tables,130.75,101.33
PROD0248,Transition Integrated Portals,Office Supplies,Paper,665.41,387.37
PROD0249,Target 24/365 Schemas,Technology,Copiers,548.69,317.94
PROD0250,Evolve B2B E-Markets,Furniture,Furnishings,566.42,284.67
PROD0251,Expedite Dot-Com Supply-Chains,Furniture,Chairs,164.98,145.63
PROD0252,Synthesize Intuitive Content,Technology,Accessories,475.48,272.54
PROD0253,Reinvent Integrated E-Markets,Furniture,Bookcases,797.7,628.65
PROD0254,Benchmark 24/365 Solutions,Technology,Machines,216.01,165.03
PROD0255,Aggregate Open-Source Initiatives,Office Supplies,Paper,420.54,228.93
PROD0256,Repurpose Dynamic Deliverables,Technology,Phones,182.75,149.95
PROD0257,Incubate Mission-Critical Info-Mediaries,Furniture,Chairs,145.45,94.53
PROD0258,Redefine Interactive E-Tailers,Technology,Accessories,23.62,20.05
PROD0259,Optimize Extensible E-Services,Office Supplies,Labels,651.09,398.33
PROD0260,Utilize Innovative Platforms,Office Supplies,Paper,85.19,68.34
PROD0261,Re-Contextualize Innovative Content,Office Supplies,Paper,468.36,270.76
PROD0262,Empower Mission-Critical Mindshare,Technology,Accessories,967.0,804.17
PROD0263,Transition Front-End Portals,Technology,Machines,228.86,127.74
PROD0264,Extend Visionary Infrastructures,Office Supplies,Binders,873.68,447.69
PROD0265,Morph 24/7 Networks,Office Supplies,Labels,993.15,680.52
PROD0266,Evolve One-To-One Bandwidth,Furniture,Chairs,991.98,844.38
PROD0267,Integrate Scalable Supply-Chains,Furniture,Tables,689.11,617.41
PROD0268,Empower Global Web-Readiness,Technology,Copiers,132.62,112.89
PROD0269,Facilitate Back-End Bandwidth,Furniture,Bookcases,374.16,272.39
PROD0270,Iterate User-Centric Interfaces,Office Supplies,Art,337.67,243.82
PROD0271,Whiteboard Robust Methodologies,Office Supplies,Labels,977.84,614.47
PROD0272,Maximize Granular Roi,Furniture,Tables,649.61,573.75
PROD0273,Deploy Seamless Channels,Technology,Phones,15.49,8.04
PROD0274,Re-Contextualize Leading-Edge Supply-Chains,Office Supplies,Art,155.98,133.24
PROD0275,Leverage Impactful Supply-Chains,Technology,Copiers,567.68,506.35
PROD0276,Productize Best-Of-Breed Platforms,Furniture,Chairs,239.87,172.51
PROD0277,Empower Out-Of-The-Box E-Markets,Furniture,Bookcases,691.77,539.41
PROD0278,Engineer Rich Infrastructures,Office Supplies,Binders,343.4,251.04
PROD0279,Deliver Bricks-And-Clicks Infrastructures,Technology,Machines,681.92,597.19
PROD0280,Cultivate B2C Content,Technology,Phones,853.53,504.61
PROD0281,Grow Value-Added E-Services,Technology,Copiers,471.69,356.0
PROD0282,Repurpose Intuitive Functionalities,Furniture,Bookcases,668.46,381.24
PROD0283,Syndicate Dynamic Functionalities,Furniture,Furnishings,675.37,363.14
PROD0284,Strategize Leading-Edge Synergies,Office Supplies,Labels,550.7,348.21
PROD0285,Deploy Dynamic Technologies,Office Supplies,Paper,730.73,399.9
PROD0286,Optimize Magnetic Users,Furniture,Bookcases,659.33,550.22
PROD0287,Repurpose Vertical Markets,Furniture,Bookcases,384.84,265.56
PROD0288,Re-Intermediate Wireless Mindshare,Office Supplies,Binders,175.39,139.77
PROD0289,Strategize End-To-End Paradigms,Furniture,Furnishings,539.51,315.1
PROD0290,Deploy End-To-End Architectures,Office Supplies,Binders,894.14,575.92
PROD0291,Harness World-Class Action-Items,Furniture,Furnishings,191.99,166.98
PROD0292,Facilitate Customized Paradigms,Office Supplies,Paper,619.29,395.39
PROD0293,Strategize Ubiquitous Roi,Technology,Copiers,834.89,740.24
PROD0294,Morph Plug-And-Play E-Business,Office Supplies,Paper,919.55,544.26
PROD0295,Unleash Customized Info-Mediaries,Furniture,Chairs,306.24,171.1
PROD0296,Visualize Next-Generation Architectures,Furniture,Chairs,737.88,504.24
PROD0297,Integrate Magnetic Communities,Furniture,Chairs,562.79,323.92
PROD0298,Streamline Rich Models,Furniture,Bookcases,496.04,276.41
PROD0299,Reinvent Global Roi,Office Supplies,Binders,267.8,203.55
PROD0300,Orchestrate 24/365 Convergence,Office Supplies,Art,126.35,96.77
PROD0301,Revolutionize Dot-Com Interfaces,Office Supplies,Paper,843.93,738.39
PROD0302,Morph Interactive Convergence,Office Supplies,Labels,376.85,240.27
PROD0303,Disintermediate End-To-End Web-Readiness,Furniture,Furnishings,193.13,136.25
PROD0304,Engineer Cross-Platform Portals,Technology,Machines,213.79,117.3
PROD0305,Empower Frictionless Deliverables,Technology,Phones,310.31,235.44
PROD0306,Transform Web-Enabled Relationships,Office Supplies,Binders,118.18,89.95
PROD0307,Harness B2C Networks,Office Supplies,Art,524.7,270.32
PROD0308,Enhance Impactful Info-Mediaries,Technology,Machines,859.83,621.08
PROD0309,Leverage Interactive Networks,Furniture,Furnishings,990.68,656.77
PROD0310,Integrate Scalable Systems,Office Supplies,Paper,636.36,557.22
PROD0311,Architect Real-Time Content,Technology,Accessories,240.89,150.83
PROD0312,Architect Out-Of-The-Box Schemas,Furniture,Tables,189.49,119.72
PROD0313,Envisioneer Collaborative Models,Technology,Phones,17.73,12.17
PROD0314,Syndicate Cutting-Edge Applications,Furniture,Tables,684.48,403.72
PROD0315,Seize Back-End Content,Office Supplies,Labels,207.34,129.87
PROD0316,Expedite Ubiquitous Niches,Technology,Machines,885.34,471.38
PROD0317,Orchestrate Dot-Com Users,Technology,Copiers,142.88,118.25
PROD0318,Extend Plug-And-Play Supply-Chains,Office Supplies,Art,231.28,144.11
PROD0319,Empower Out-Of-The-Box Niches,Furniture,Tables,851.04,703.42
PROD0320,Harness E-Business Niches,Office Supplies,Art,454.02,251.37
PROD0321,Deploy Value-Added Infrastructures,Office Supplies,Binders,564.4,372.04
PROD0322,Unleash Best-Of-Breed Synergies,Furniture,Furnishings,684.15,564.42
PROD0323,Transform Compelling Technologies,Technology,Machines,939.62,616.03
PROD0324,Transition Magnetic Content,Office Supplies,Art,765.87,587.12
PROD0325,Disintermediate User-Centric Users,Technology,Phones,271.49,136.33
PROD0326,Architect B2C Experiences,Furniture,Bookcases,633.11,551.27
PROD0327,Mesh Viral Communities,Furniture,Chairs,346.59,205.72
PROD0328,Optimize Web-Enabled Initiatives,Office Supplies,Binders,333.35,236.4
PROD0329,Scale Robust Info-Mediaries,Furniture,Bookcases,266.36,182.18
PROD0330,Re-Intermediate Vertical Portals,Technology,Phones,960.41,674.99
PROD0331,Utilize World-Class Methodologies,Furniture,Bookcases,51.05,34.58
PROD0332,Drive Revolutionary Markets,Furniture,Chairs,539.93,274.66
PROD0333,Deploy Value-Added Architectures,Office Supplies,Labels,124.25,104.29
PROD0334,Expedite Strategic Models,Furniture,Tables,415.74,346.32
PROD0335,Brand E-Business E-Commerce,Technology,Machines,481.39,399.38
PROD0336,Streamline Next-Generation Applications,Technology,Accessories,829.64,654.83
PROD0337,Empower Ubiquitous Solutions,Office Supplies,Art,240.45,149.62
PROD0338,Empower Transparent E-Markets,Office Supplies,Art,244.61,170.36
PROD0339,Whiteboard Next-Generation Action-Items,Office Supplies,Labels,994.7,788.82
PROD0340,Optimize Magnetic Interfaces,Furniture,Furnishings,636.18,553.84
PROD0341,Repurpose Innovative Platforms,Technology,Accessories,885.9,462.89
PROD0342,Incentivize Robust Supply-Chains,Furniture,Furnishings,241.44,135.04
PROD0343,Enhance E-Business Portals,Furniture,Tables,340.07,256.18
PROD0344,Monetize Visionary Content,Furniture,Bookcases,524.31,319.43
PROD0345,Harness Best-Of-Breed Schemas,Office Supplies,Labels,80.26,58.67
PROD0346,Revolutionize Seamless Niches,Furniture,Tables,666.57,510.44
PROD0347,Utilize Granular Networks,Office Supplies,Paper,844.98,434.03
PROD0348,Iterate Collaborative Partnerships,Furniture,Chairs,997.34,687.66
PROD0349,Seize 24/7 E-Business,Technology,Copiers,909.07,701.76
PROD0350,Strategize Cross-Platform Action-Items,Office Supplies,Art,476.85,427.2
PROD0351,Evolve Innovative Channels,Technology,Accessories,557.44,333.41
PROD0352,Evolve World-Class Schemas,Furniture,Chairs,72.53,63.5
PROD0353,E-Enable User-Centric Networks,Technology,Machines,593.13,425.39
PROD0354,Synergize Granular Supply-Chains,Furniture,Bookcases,191.84,109.09
PROD0355,Synergize Customized Action-Items,Technology,Machines,578.39,365.9
PROD0356,Mesh Vertical Convergence,Office Supplies,Binders,839.13,454.17
PROD0357,Monetize Proactive Partnerships,Office Supplies,Labels,576.81,497.02
PROD0358,Unleash Enterprise Partnerships,Office Supplies,Paper,835.47,445.57
PROD0359,Utilize Holistic Technologies,Furniture,Tables,960.57,669.75
PROD0360,Orchestrate Collaborative Methodologies,Furniture,Furnishings,716.15,620.25
PROD0361,Revolutionize Distributed Applications,Office Supplies,Labels,154.1,121.18
